2023-12-15,10.06,10.07,10.09,10.05,4836553
2023-12-18,10.06,10.09,10.09,10.06,159641
2023-12-19,10.09,10.1,10.1,10.06,28811
2023-12-20,10.1,10.1,10.11,10.09,55038
2023-12-21,10.0986,10.1,10.1,10.0986,35031
2023-12-22,10.06,10.06,10.1,10.06,44390
2023-12-26,10.0671,10.0671,10.0671,10.0671,132
2023-12-27,10.07,10.06,10.07,10.06,28300
2023-12-28,10.1,10.1,10.11,10.0981,59631
2023-12-29,10.12,10.12,10.12,10.1057,38968
2024-01-02,10.13,10.13,10.13,10.13,4023
2024-01-03,10.13,10.13,10.14,10.13,77280
2024-01-04,10.13,10.15,10.15,10.13,23649
2024-01-09,10.16,10.19,10.19,10.16,28010
2024-01-10,10.2,10.2,10.2,10.2,800
2024-01-12,10.21,10.42,10.42,10.21,300
2024-01-16,10.21,10.21,10.21,10.21,1600
2024-01-18,10.205,10.2,10.21,10.2,6604
2024-01-23,10.2,10.2,10.2,10.195,6439
2024-01-25,10.2,10.21,10.21,10.2,2616
2024-02-02,10.23,10.23,10.23,10.23,100
2024-02-05,10.23,10.23,10.23,10.23,100
2024-02-06,10.23,10.23,10.23,10.23,125
2024-02-07,10.23,10.23,10.23,10.23,1195
2024-02-08,10.23,10.3,10.3,10.23,2535
2024-02-09,10.3,10.3,10.3,10.3,101
2024-02-12,10.23,10.23,10.23,10.23,747
2024-02-14,10.265,10.2951,10.2951,10.265,774
2024-02-15,10.23,10.29,10.29,10.23,1317
2024-02-16,10.3,10.23,10.3,10.23,891
2024-02-20,10.23,10.27,10.27,10.23,456
2024-02-22,10.28,10.28,10.28,10.28,2457
2024-02-23,10.23,10.28,10.28,10.23,6577
2024-02-26,10.28,10.23,10.28,10.23,4177
2024-02-27,10.24,10.62,10.63,10.23,1727
2024-02-28,10.62,10.61,10.62,10.61,697
2024-03-07,10.26,10.26,10.26,10.26,100
2024-03-08,10.3,10.3,10.3,10.3,100
2024-03-11,10.3,10.28,10.3,10.28,355
2024-03-12,10.2,10.26,10.26,10.2,6000
2024-03-14,10.1,10.3,10.3,10.1,1600
2024-03-15,10.95,10.0,10.95,10.0,3401
2024-03-18,10.29,10.3,10.3,10.29,1591
2024-03-19,10.77,10.1,10.9,10.1,15418
2024-03-20,10.3,10.3,10.3,10.3,26507
2024-03-21,10.72,10.45,10.72,10.45,1694
2024-03-26,10.19,10.19,10.19,10.19,138
2024-04-01,10.18,10.18,10.18,10.18,205
2024-04-02,10.19,10.19,10.19,10.19,3803
2024-04-04,10.2376,10.2376,10.2376,10.2376,2500
2024-04-09,10.25,10.28,10.28,10.25,3862
2024-04-11,10.3,10.3,10.3,10.3,300
2024-04-15,10.25,10.25,10.25,10.25,2000
2024-04-23,10.27,10.27,10.27,10.27,101
2024-04-24,10.27,10.27,10.27,10.27,100
2024-04-25,10.29,10.29,10.29,10.29,100
2024-04-26,10.31,10.27,11.5,10.27,1963
2024-05-07,10.36,10.36,10.36,10.36,100
2024-05-08,10.32,10.32,10.32,10.32,100
2024-05-09,10.33,10.33,10.33,10.33,100
2024-05-10,10.33,10.33,10.33,10.33,100
2024-05-13,10.27,10.27,10.27,10.27,100
2024-05-14,10.28,10.28,10.28,10.28,100
2024-05-15,10.28,10.28,10.28,10.28,100
2024-05-16,10.29,10.29,10.29,10.29,100
2024-05-17,10.45,11.39,11.5,10.45,3552
2024-05-30,10.41,10.41,10.41,10.41,200
2024-06-07,10.35,10.35,10.35,10.35,102
2024-06-10,10.35,10.35,10.35,10.35,103
2024-06-11,10.35,10.35,10.35,10.35,150
2024-06-12,10.35,10.35,10.35,10.35,100
2024-06-13,10.35,10.35,10.35,10.35,100
2024-06-14,10.35,10.35,10.35,10.35,100
2024-06-17,10.36,10.36,10.36,10.36,100
2024-06-18,10.32,10.32,10.32,10.32,820
2024-06-25,10.42,10.42,10.42,10.42,101
2024-07-03,10.43,10.43,10.43,10.43,102
2024-07-12,10.44,10.44,10.44,10.44,100
2024-07-15,10.44,10.44,10.44,10.44,100
2024-07-16,10.46,10.46,10.46,10.46,100
2024-07-17,10.44,10.44,10.44,10.44,100
2024-07-18,10.46,10.46,10.46,10.46,100
2024-07-19,10.46,10.46,10.46,10.46,100
2024-07-22,10.46,10.46,10.46,10.46,100
2024-07-23,10.46,10.46,10.46,10.46,100
2024-07-24,10.46,10.46,10.46,10.46,100
2024-07-25,10.47,10.47,10.47,10.47,100
2024-07-26,10.47,10.47,10.47,10.47,100
2024-07-29,10.45,10.47,10.47,10.45,624
2024-08-05,10.49,10.49,10.49,10.49,129
