2024-02-28,0.18,0.1186,0.18,0.11,47401
2024-02-29,0.135,0.099,0.135,0.0801,34492
2024-03-01,0.1,0.0999,0.104,0.062,7985
2024-03-04,0.092,0.11,0.11,0.0694,31510
2024-03-05,0.11,0.1,0.11,0.1,2311
2024-03-06,0.088802,0.0998,0.1089,0.081,6090
2024-03-07,0.0998,0.099,0.0998,0.086,50192
2024-03-08,0.09,0.076,0.12,0.068,9151
2024-03-11,0.076,0.0732,0.076,0.0681,25663
2024-03-12,0.0716,0.075,0.075,0.0711,32060
2024-03-13,0.0731,0.075,0.075,0.0731,403
2024-03-14,0.068,0.075,0.075,0.0575,18606
2024-03-15,0.075,0.0749,0.075,0.0749,760
2024-03-18,0.075,0.072,0.075,0.072,1931
2024-03-19,0.072549,0.0926,0.1149,0.072,121733
2024-03-20,0.11,0.1035,0.143,0.0825,248358
2024-03-21,0.1091,0.1398,0.1399,0.109099,7707
2024-03-22,0.1,0.1623,0.1999,0.1,14442
2024-03-25,0.14,0.14,0.1401,0.11,5603
2024-03-26,0.1538,0.16,0.1996,0.145,31676
2024-03-27,0.18,0.145,0.1978,0.145,24779
2024-03-28,0.185,0.145,0.185,0.145,33305
2024-04-01,0.1481,0.16,0.16,0.1,31385
2024-04-02,0.16,0.151,0.1949,0.15,14004
2024-04-03,0.19,0.1912,0.2,0.1026,131256
2024-04-04,0.145,0.18,0.2,0.145,5462
2024-04-05,0.1501,0.18,0.18,0.1501,4554
2024-04-08,0.177596,0.18,0.18,0.175,5791
2024-04-09,0.185,0.1851,0.21,0.185,9692
2024-04-10,0.19,0.1851,0.2,0.1851,18103
2024-04-11,0.1975,0.1852,0.1975,0.1851,10982
2024-04-12,0.1851,0.1849,0.2098,0.1849,7198
2024-04-15,0.2,0.2,0.2,0.2,130
2024-04-16,0.16875,0.16,0.1775,0.16,10357
2024-04-17,0.16,0.16,0.17,0.16,7115
2024-04-18,0.1755,0.17,0.1755,0.1475,2717
2024-04-19,0.129,0.123,0.2499,0.11,6861
2024-04-22,0.182,0.213499,0.2875,0.182,1050
2024-04-23,0.24,0.16,0.2499,0.1401,55685
2024-04-24,0.19,0.19,0.19,0.19,111
2024-04-25,0.2203,0.1781,0.2203,0.1781,2313
2024-04-26,0.2,0.2,0.205,0.1999,22691
2024-04-30,0.17,0.17,0.17,0.17,41984
2024-05-02,0.185,0.17,0.185,0.17,310
2024-05-06,0.122,0.1121,0.16,0.1121,990
2024-05-13,0.16,0.1152,0.16,0.1152,24706
2024-05-16,0.1153,0.1153,0.1153,0.1153,2000
2024-05-17,0.199,0.2,0.2,0.199,1490
2024-05-20,0.2,0.16,0.22,0.153,107881
2024-05-21,0.16,0.135,0.16,0.1175,87765
2024-05-22,0.15,0.15,0.16,0.1363,47466
2024-05-23,0.1399,0.15,0.1511,0.1251,4861
2024-05-24,0.19,0.1999,0.1999,0.19,1501
2024-05-30,0.180099,0.16,0.19,0.144,46949
2024-05-31,0.2,0.18,0.22,0.18,76228
2024-06-04,0.21,0.1704,0.2199,0.1704,1641
2024-06-06,0.18,0.18,0.18,0.18,8600
2024-06-07,0.2188,0.2,0.2188,0.2,1330
2024-06-14,0.2178,0.22,0.2389,0.2178,5824
2024-06-17,0.24,0.24,0.24,0.24,341
2024-06-20,0.2461,0.26,0.2875,0.245,60061
2024-06-21,0.28,0.2,0.31,0.179,57232
2024-06-24,0.25,0.2501,0.2899,0.25,8197
2024-06-25,0.3473,0.29,0.3473,0.28,13431
2024-06-26,0.25,0.295,0.32,0.222,23523
2024-06-27,0.3168,0.3069,0.3199,0.296,5917
2024-06-28,0.31,0.305,0.32,0.2993,45969
2024-07-01,0.31,0.3,0.3275,0.23,11292
2024-07-02,0.32,0.2937,0.3225,0.265,13096
2024-07-03,0.27,0.2772,0.28,0.23,9344
2024-07-09,0.277,0.2862,0.32,0.277,4562
2024-07-10,0.2801,0.3242,0.3274,0.28,19160
2024-07-11,0.3273,0.3225,0.34,0.3,12976
2024-07-12,0.3366,0.34,0.34,0.3366,4307
2024-07-15,0.276,0.2999,0.3,0.276,965
2024-07-16,0.3267,0.32875,0.3575,0.3,20390
2024-07-17,0.31,0.295,0.33,0.29,9300
2024-07-18,0.3,0.2951,0.33,0.295,20800
2024-07-19,0.3,0.3,0.3,0.3,5000
2024-07-22,0.31,0.35,0.3975,0.31,43402
2024-07-23,0.35,0.35,0.36,0.35,21791
2024-07-24,0.35,0.3537,0.3537,0.35,15300
2024-07-26,0.35,0.35,0.35625,0.3499,5219
2024-07-29,0.3499,0.3499,0.3499,0.3499,160
2024-08-02,0.31,0.31,0.31,0.31,700
2024-08-05,0.29,0.29,0.29,0.29,144
2024-08-06,0.28,0.3025,0.3025,0.28,23996
2024-08-07,0.3206,0.33,0.33,0.3206,220
2024-08-12,0.35,0.35,0.35,0.35,320
